iterations,fitness,time,fevals
0,22.0,0.000899382999997,558
10,23.0,0.001741899,1026
20,23.0,0.002489184,1487
30,24.0,0.005748913,1948
40,24.0,0.006427399,2409
50,24.0,0.00704087299999,2861
60,23.0,0.00764105299999,3314
70,23.0,0.014290985,3762
80,24.0,0.014868791,4218
90,25.0,0.015478772,4665
100,25.0,0.016106421,5110
110,26.0,0.020789956,5558
120,26.0,0.021374304,6014
130,26.0,0.021988021,6464
140,26.0,0.022595408,6916
150,26.0,0.023194529,7376
160,26.0,0.028382336,7830
170,26.0,0.028952649,8267
180,26.0,0.029523419,8716
190,26.0,0.030084535,9173
200,27.0,0.030677447,9633
210,28.0,0.031286873,10089
220,27.0,0.035941928,10545
230,27.0,0.036500731,11004
240,27.0,0.037222957,11455
250,27.0,0.039097351,11913
260,29.0,0.039720767,12371
270,28.0,0.040323992,12830
280,28.0,0.040938009,13289
290,28.0,0.041516521,13740
300,30.0,0.042132442,14206
310,30.0,0.046853814,14671
320,30.0,0.047469135,15124
330,29.0,0.051368338,15577
340,28.0,0.052169895,16042
350,29.0,0.052784813,16494
360,31.0,0.053543063,16947
370,31.0,0.058268853,17401
380,30.0,0.058914936,17846
390,30.0,0.059619776,18303
400,32.0,0.060213196,18747
410,33.0,0.060850136,19205
420,34.0,0.067118982,19659
430,35.0,0.067730229,20115
440,39.0,0.068299884,20568
450,40.0,0.068895399,21015
460,39.0,0.07357012,21475
470,39.0,0.074197725,21939
480,39.0,0.074744589,22391
490,40.0,0.075280716,22845
500,40.0,0.075827572,23297
510,41.0,0.07770902,23758
520,42.0,0.078296245,24198
530,40.0,0.078873195,24668
540,44.0,0.07945807,25128
550,40.0,0.080077366,25572
560,40.0,0.084695381,26028
570,40.0,0.085303626,26486
580,42.0,0.085883869,26939
590,42.0,0.086475715,27408
600,41.0,0.093963921,27858
610,41.0,0.094547293,28307
620,41.0,0.095122328,28748
630,41.0,0.095695747,29207
640,41.0,0.096352419,29661
650,41.0,0.096950316,30130
660,41.0,0.099845381,30571
670,42.0,0.100403665,31016
680,42.0,0.101027951,31466
690,43.0,0.105214564,31914
700,43.0,0.105799716,32367
710,43.0,0.106363607,32820
720,42.0,0.106940371,33262
730,43.0,0.111628597,33696
740,42.0,0.1122102,34157
750,42.0,0.112835642,34600
760,43.0,0.113457839,35038
770,42.0,0.115297482,35491
780,42.0,0.116014823,35955
790,42.0,0.116616214,36426
800,42.0,0.117251299,36880
810,41.0,0.117817368,37339
820,42.0,0.122506478,37799
830,42.0,0.123118631,38261
840,41.0,0.1237192,38736
850,42.0,0.124303569,39194
860,41.0,0.131573742,39650
870,42.0,0.132174856,40095
880,41.0,0.132757052,40554
890,41.0,0.133358603,41019
900,42.0,0.133979843,41478
910,42.0,0.13454233,41924
920,43.0,0.135105034,42373
930,45.0,0.135661664,42821
940,43.0,0.136218055,43278
950,42.0,0.142834557,43715
960,44.0,0.143395105,44169
970,43.0,0.143966816,44611
980,44.0,0.144516654,45070
990,43.0,0.149315853,45524
1000,44.0,0.149872918,45986
1010,44.0,0.150432489,46447
1020,46.0,0.150986716,46917
1030,45.0,0.151593986,47377
1040,47.0,0.15344144,47831
1050,50.0,0.154010529,48281
1060,46.0,0.154580848,48745
1070,50.0,0.15514099,49198
1080,50.0,0.155740945,49652
1090,49.0,0.160396158,50115
1100,50.0,0.16099532,50580
1110,49.0,0.161592563,51040
1120,47.0,0.162175661,51490
1130,47.0,0.165728376,51960
1140,48.0,0.166297117,52421
1150,49.0,0.166863572,52870
1160,52.0,0.167458447,53322
1170,52.0,0.172101468,53786
1180,53.0,0.172673248,54254
1190,54.0,0.173322333,54706
1200,56.0,0.173903184,55153
1210,53.0,0.18074056,55617
1220,54.0,0.181358705,56070
1230,54.0,0.181980708,56527
1240,54.0,0.18254888,56972
1250,56.0,0.183152785,57435
1260,54.0,0.183727732,57902
1270,54.0,0.184290244,58347
1280,53.0,0.184961233,58794
1290,52.0,0.185585303,59256
1300,53.0,0.192106508,59729
1310,53.0,0.192719172,60177
1320,53.0,0.193346271,60627
1330,53.0,0.193954947,61089
1340,53.0,0.198597579,61546
1350,56.0,0.199172016,62010
1360,55.0,0.199737281,62467
1370,55.0,0.200356835,62913
1380,55.0,0.20091025,63362
1390,54.0,0.20267778,63801
1400,55.0,0.203236145,64250
1410,56.0,0.203773755,64696
1420,57.0,0.204323023,65156
1430,57.0,0.204866398,65619
1440,57.0,0.205467796,66076
1450,57.0,0.210099141,66538
1460,59.0,0.210705688,66996
1470,59.0,0.211420933,67456
1480,59.0,0.218917705,67922
1490,61.0,0.219473653,68381
1500,61.0,0.220008441,68838
1510,61.0,0.220628437,69287
1520,59.0,0.221211695,69735
1530,58.0,0.221793428,70177
1540,58.0,0.222336974,70634
1550,57.0,0.222881994,71089
1560,57.0,0.223436359,71540
1570,57.0,0.230350862,72001
1580,58.0,0.230888385,72452
1590,57.0,0.231475825,72897
1600,57.0,0.232054085,73358
1610,58.0,0.232666703,73821
1620,57.0,0.233272321,74278
1630,55.0,0.233864302,74726
1640,56.0,0.234433109,75160
1650,56.0,0.241336355,75607
1660,58.0,0.241930808,76079
1670,56.0,0.242564712,76533
1680,57.0,0.243367143,76981
1690,55.0,0.248028459,77444
1700,55.0,0.24865795,77904
1710,54.0,0.249222885,78353
1720,55.0,0.249823607,78821
1730,55.0,0.250386946,79281
1740,55.0,0.25224184,79736
1750,54.0,0.252834045,80201
1760,55.0,0.25342834,80673
1770,55.0,0.254051322,81129
1780,56.0,0.254700801,81599
1790,57.0,0.259602246,82061
1800,56.0,0.260208913,82516
1810,56.0,0.260816206,82968
1820,55.0,0.261382663,83415
1830,54.0,0.267958774,83860
1840,54.0,0.268534986,84311
1850,56.0,0.269168597,84774
1860,56.0,0.269802775,85236
1870,56.0,0.274468489,85689
1880,57.0,0.275082963,86153
1890,56.0,0.275684584,86619
1900,56.0,0.276262646,87071
1910,55.0,0.276860103,87529
1920,54.0,0.278594416,87981
1930,54.0,0.279157835,88427
1940,53.0,0.279794712,88886
1950,54.0,0.280407325,89346
1960,55.0,0.281017385,89806
1970,56.0,0.285658638,90248
1980,53.0,0.286259927,90706
1990,54.0,0.28685577,91157
2000,55.0,0.289473859,91624
2010,54.0,0.294619344,92078
2020,53.0,0.295211825,92541
2030,54.0,0.295834753,92985
2040,55.0,0.29645041,93440
2050,52.0,0.297054612,93883
2060,54.0,0.297617279,94342
2070,53.0,0.298228089,94794
2080,53.0,0.298838281,95276
2090,52.0,0.305625928,95729
2100,53.0,0.30623842,96197
2110,53.0,0.306816598,96641
2120,53.0,0.307382766,97097
2130,54.0,0.312098724,97566
2140,54.0,0.312779412,98009
2150,55.0,0.31337578,98476
2160,57.0,0.313961481,98933
2170,57.0,0.31451948,99378
2180,56.0,0.316341867,99846
2190,56.0,0.316922594,100310
2200,58.0,0.317490202,100766
2210,57.0,0.318141166,101225
