iterations,fitness,time,fevals
0,23.0,0.197524446,1000
10,39.0,0.374871075,2100
20,37.0,0.531467654,3200
30,37.0,0.685991385,4300
40,41.0,0.836827255,5400
50,44.0,0.981460135,6500
60,48.0,1.151920037,7600
70,48.0,1.295162906,8700
80,45.0,1.463483039,9800
90,48.0,1.617863244,10900
100,50.0,1.774552901,12000
110,49.0,1.926444146,13100
120,50.0,2.109816296,14200
130,50.0,2.265479858,15300
140,51.0,2.418281792,16400
150,53.0,2.566890833,17500
160,57.0,2.711055305,18600
170,53.0,2.857338982,19700
180,59.0,3.005121066,20800
190,51.0,3.156054662,21900
200,56.0,3.347555919,23000
210,56.0,3.489718765,24100
220,63.0,3.636690928,25200
230,58.0,3.780327282,26300
240,61.0,3.930533875,27400
250,57.0,4.084749746,28500
260,58.0,4.215561449,29600
270,56.0,4.35144704,30700
280,57.0,4.486912289,31800
290,56.0,4.625688582,32900
300,58.0,4.752412832,34000
310,57.0,4.890464005,35100
320,56.0,5.029759028,36200
330,58.0,5.161493918,37300
340,57.0,5.297705416,38400
350,58.0,5.452518455,39500
360,60.0,5.599427993,40600
370,59.0,5.748872114,41700
380,58.0,5.88814933,42800
390,58.0,6.046360895,43900
400,58.0,6.228143069,45000
410,60.0,6.371648808,46100
420,61.0,6.508759866,47200
430,60.0,6.646776543,48300
440,61.0,6.799511317,49400
450,62.0,6.929276486,50500
460,67.0,7.084425992,51600
470,62.0,7.226708706,52700
480,61.0,7.393406454,53800
490,61.0,7.539681921,54900
500,60.0,7.669196341,56000
510,61.0,7.799177607,57100
520,61.0,7.934031722,58200
530,60.0,8.074530624,59300
540,62.0,8.204406902,60400
550,62.0,8.340405374,61500
560,60.0,8.476152317,62600
570,60.0,8.611662228,63700
580,61.0,8.74254234,64800
590,62.0,8.884708032,65900
600,61.0,9.03114965,67000
610,64.0,9.171115606,68100
620,64.0,9.308832028,69200
630,64.0,9.443393891,70300
640,61.0,9.59898739,71400
650,61.0,9.730461318,72500
660,61.0,9.862266918,73600
670,64.0,9.996560432,74700
680,64.0,10.149926442,75800
690,64.0,10.279987408,76900
700,64.0,10.406910141,78000
710,64.0,10.534839842,79100
720,64.0,10.667662991,80200
730,64.0,10.862107296,81300
740,62.0,11.014564386,82400
750,61.0,11.144472087,83500
760,64.0,11.27543351,84600
770,61.0,11.401548336,85700
780,63.0,11.525109493,86800
790,64.0,11.643970368,87900
800,66.0,11.775712308,89000
810,67.0,11.903643336,90100
820,66.0,12.03971997,91200
830,64.0,12.168226028,92300
840,64.0,12.332847172,93400
850,67.0,12.46519555,94500
860,65.0,12.604532555,95600
870,63.0,12.729448844,96700
880,64.0,12.852286598,97800
890,65.0,12.981568091,98900
900,64.0,13.109586296,100000
910,64.0,13.245607813,101100
920,64.0,13.371297387,102200
930,65.0,13.503650478,103300
940,63.0,13.635454944,104400
950,63.0,13.766056189,105500
960,64.0,13.8929402,106600
970,64.0,14.018988171,107700
980,64.0,14.164339712,108800
990,63.0,14.304831293,109900
1000,64.0,14.452050361,111000
1010,64.0,14.595654675,112100
1020,64.0,14.725551044,113200
1030,64.0,14.847923599,114300
1040,63.0,14.973680037,115400
1050,63.0,15.101570405,116500
1060,64.0,15.235016537,117600
1070,64.0,15.361333755,118700
1080,64.0,15.535973492,119800
1090,64.0,15.672018954,120900
1100,64.0,15.798295638,122000
1110,63.0,15.922989563,123100
1120,63.0,16.054117036,124200
1130,64.0,16.178259317,125300
1140,64.0,16.30191516,126400
1150,64.0,16.425503793,127500
1160,64.0,16.551410003,128600
1170,64.0,16.687996882,129700
1180,64.0,16.819127153,130800
1190,64.0,16.953687435,131900
1200,64.0,17.080565613,133000
1210,69.0,17.216341938,134100
1220,64.0,17.353971597,135200
1230,64.0,17.480620189,136300
