iterations,fitness,time,fevals
0,14.0,9.06460000001e-05,11
10,17.0,0.000146676,21
20,17.0,0.000196317,31
30,18.0,0.000261337,41
40,18.0,0.000312205,51
50,18.0,0.004443427,61
60,18.0,0.004501392,71
70,18.0,0.004568981,81
80,18.0,0.004638752,91
90,18.0,0.004695979,101
100,18.0,0.004747391,111
110,18.0,0.004799447,121
120,18.0,0.004853346,131
130,18.0,0.004908668,141
140,23.0,0.004958564,151
150,24.0,0.011068376,161
160,25.0,0.011129402,171
170,27.0,0.011181034,181
180,28.0,0.011231872,191
190,28.0,0.011283031,201
200,28.0,0.011335034,211
210,29.0,0.011388288,221
220,29.0,0.011438772,231
230,29.0,0.0114917,241
240,29.0,0.011545695,251
250,29.0,0.011594575,261
260,31.0,0.0116441,271
270,31.0,0.01171342,281
280,31.0,0.011762054,291
290,35.0,0.01184145,301
300,35.0,0.01192616,311
310,35.0,0.012014935,321
320,35.0,0.012128814,331
330,36.0,0.012215408,341
340,36.0,0.012301827,351
350,36.0,0.012395389,361
360,36.0,0.012480277,371
370,36.0,0.01256627,381
380,36.0,0.012659131,391
390,36.0,0.012747527,401
400,36.0,0.012831721,411
410,36.0,0.012915456,421
420,36.0,0.013007725,431
430,36.0,0.013119088,441
440,36.0,0.013207731,451
450,37.0,0.01329235,461
460,37.0,0.013384613,471
470,37.0,0.013474075,481
480,37.0,0.013558205,491
490,37.0,0.013665037,501
500,37.0,0.013751754,511
510,37.0,0.013835447,521
520,37.0,0.013919895,531
530,37.0,0.014030434,541
540,38.0,0.014115523,551
550,39.0,0.014201445,561
560,39.0,0.014291247,571
570,39.0,0.01438071,581
580,39.0,0.014464617,591
590,39.0,0.014549366,601
600,39.0,0.014633965,611
610,39.0,0.014726255,621
620,39.0,0.01482868,631
630,39.0,0.01491315,641
640,39.0,0.015036154,651
650,39.0,0.015124967,661
660,39.0,0.023245019,671
670,39.0,0.023298998,681
680,39.0,0.023363054,691
690,39.0,0.023412957,701
700,39.0,0.023462292,711
710,39.0,0.023510971,721
720,39.0,0.02356374,731
730,39.0,0.023613567,741
740,39.0,0.023662308,751
750,39.0,0.023711469,761
760,39.0,0.023760618,771
770,39.0,0.023809469,781
780,39.0,0.023880439,791
790,39.0,0.023935881,801
800,39.0,0.023987878,811
810,39.0,0.024036697,821
820,39.0,0.024085288,831
830,40.0,0.024137094,841
840,40.0,0.02418529,851
850,40.0,0.032339508,861
860,40.0,0.032391839,871
870,41.0,0.03245746,881
880,41.0,0.032510401,891
890,41.0,0.032589692,901
900,41.0,0.032673485,911
910,41.0,0.032754125,921
920,41.0,0.032837101,931
930,43.0,0.032888483,941
940,43.0,0.032940667,951
950,43.0,0.03299066,961
960,43.0,0.033040812,971
970,43.0,0.033091537,981
980,43.0,0.033142066,991
990,43.0,0.033190734,1001
1000,43.0,0.033240054,1011
1010,43.0,0.033315534,1021
1020,43.0,0.033418012,1031
1030,43.0,0.033508503,1041
1040,43.0,0.033592526,1051
1050,43.0,0.033684337,1061
1060,43.0,0.033768566,1071
1070,43.0,0.033855011,1081
1080,43.0,0.03392641,1091
1090,45.0,0.034002301,1101
1100,46.0,0.03405197,1111
1110,50.0,0.034101894,1121
1120,50.0,0.034185326,1131
1130,50.0,0.034283587,1141
1140,50.0,0.034371133,1151
1150,50.0,0.03445948,1161
1160,50.0,0.034546444,1171
1170,50.0,0.034633925,1181
1180,50.0,0.034718951,1191
1190,50.0,0.034806886,1201
1200,50.0,0.034901849,1211
1210,50.0,0.034993479,1221
1220,50.0,0.035079464,1231
1230,50.0,0.035130168,1241
1240,50.0,0.035181437,1251
1250,50.0,0.035245829,1261
1260,50.0,0.035294719,1271
1270,50.0,0.035344921,1281
1280,50.0,0.035415986,1291
1290,50.0,0.03549606,1301
1300,50.0,0.035600596,1311
1310,50.0,0.035690785,1321
1320,50.0,0.035740408,1331
1330,50.0,0.035790367,1341
1340,50.0,0.035840677,1351
1350,50.0,0.035928765,1361
1360,50.0,0.036046911,1371
1370,50.0,0.036102562,1381
1380,50.0,0.036156464,1391
1390,50.0,0.036211766,1401
1400,50.0,0.036263858,1411
1410,50.0,0.036312484,1421
1420,50.0,0.036386979,1431
1430,50.0,0.036481723,1441
1440,51.0,0.036530492,1451
1450,51.0,0.036581324,1461
1460,52.0,0.036665163,1471
1470,52.0,0.036736359,1481
1480,52.0,0.036805423,1491
1490,52.0,0.036856808,1501
1500,52.0,0.036911122,1511
1510,52.0,0.036960115,1521
1520,52.0,0.037009595,1531
1530,52.0,0.037061568,1541
1540,52.0,0.037113771,1551
1550,52.0,0.037162267,1561
1560,52.0,0.037210624,1571
1570,52.0,0.037261514,1581
1580,52.0,0.037308997,1591
1590,52.0,0.037356952,1601
1600,52.0,0.037409462,1611
1610,52.0,0.037460237,1621
1620,52.0,0.037519673,1631
1630,52.0,0.037568214,1641
1640,52.0,0.037616419,1651
1650,52.0,0.037698881,1661
1660,52.0,0.037747984,1671
1670,52.0,0.037826662,1681
1680,52.0,0.037876322,1691
1690,53.0,0.037930591,1701
1700,53.0,0.03798529,1711
1710,54.0,0.038033613,1721
1720,54.0,0.038091616,1731
1730,54.0,0.038141697,1741
1740,54.0,0.03819246,1751
1750,54.0,0.038241446,1761
1760,54.0,0.038291208,1771
1770,54.0,0.038339288,1781
1780,54.0,0.038389443,1791
1790,54.0,0.03843735,1801
1800,54.0,0.038488155,1811
1810,54.0,0.038536399,1821
1820,55.0,0.038584457,1831
1830,55.0,0.038632181,1841
1840,55.0,0.038680958,1851
1850,55.0,0.038744388,1861
1860,55.0,0.038794125,1871
1870,55.0,0.038847367,1881
1880,55.0,0.038936359,1891
1890,56.0,0.038996861,1901
1900,56.0,0.039046346,1911
1910,56.0,0.039099538,1921
1920,56.0,0.039147194,1931
1930,56.0,0.039226911,1941
1940,56.0,0.039281267,1951
1950,56.0,0.039333462,1961
1960,57.0,0.039381644,1971
1970,64.0,0.039430488,1981
1980,64.0,0.039480368,1991
1990,64.0,0.03952887,2001
2000,64.0,0.039579619,2011
2010,64.0,0.039627978,2021
2020,64.0,0.039679247,2031
2030,64.0,0.039730103,2041
