iterations,fitness,time,fevals
0,13.0,1.26160000002e-05,11
10,12.0,2.7803e-05,21
20,12.0,4.00190000001e-05,31
30,14.0,5.21739999995e-05,41
40,16.0,6.33829999996e-05,51
50,17.0,7.46059999992e-05,61
60,17.0,8.7388999999e-05,71
70,17.0,0.000100528999999,81
80,17.0,0.000111383999998,91
90,17.0,0.000128419999998,101
100,19.0,0.000143342999999,111
110,19.0,0.000155068999999,121
120,19.0,0.000166143,131
130,19.0,0.000176955,141
140,19.0,0.000187603999999,151
150,19.0,0.000199107999999,161
160,19.0,0.000210024999999,171
170,20.0,0.000221253,181
180,20.0,0.000232196,191
190,20.0,0.000243757,201
200,20.0,0.000254772,211
210,20.0,0.000266571999999,221
220,20.0,0.000282658999999,231
230,20.0,0.000293675999999,241
240,20.0,0.000304989999999,251
250,20.0,0.000325466,261
260,20.0,0.000375739999999,271
270,20.0,0.000388831,281
280,22.0,0.000399953,291
290,22.0,0.000411818,301
300,22.0,0.000423363,311
310,24.0,0.000443101000001,321
320,25.0,0.000463869000001,331
330,25.0,0.000483726000001,341
340,25.0,0.000504185000001,351
350,25.0,0.000516626000001,361
360,25.0,0.000526971000001,371
370,27.0,0.000537092000001,381
380,27.0,0.000559255000001,391
390,27.0,0.000578490000001,401
400,27.0,0.000598032,411
410,27.0,0.000610895,421
420,27.0,0.000622049,431
430,28.0,0.000633045000001,441
440,28.0,0.000654201000001,451
450,28.0,0.000673808,461
460,28.0,0.000694887,471
470,28.0,0.000713072,481
480,28.0,0.000724162,491
490,28.0,0.000747422000001,501
500,29.0,0.000766988000001,511
510,30.0,0.000786874000001,521
520,31.0,0.000806063000001,531
530,31.0,0.000823715,541
540,31.0,0.000836021,551
550,31.0,0.0008548,561
560,31.0,0.000875628,571
570,31.0,0.008982616,581
580,31.0,0.008999103,591
590,32.0,0.009011032,601
600,32.0,0.009022099,611
610,32.0,0.009035829,621
620,33.0,0.009046739,631
630,33.0,0.009057951,641
640,34.0,0.009068426,651
650,34.0,0.009078807,661
660,34.0,0.009089204,671
670,34.0,0.009100444,681
680,34.0,0.009112396,691
690,34.0,0.009123428,701
700,34.0,0.009136624,711
710,34.0,0.00914767,721
720,34.0,0.009158201,731
730,34.0,0.009191034,741
740,34.0,0.009202342,751
750,34.0,0.009212986,761
760,34.0,0.009223224,771
770,34.0,0.00923393,781
780,34.0,0.009245537,791
790,35.0,0.009258853,801
800,39.0,0.009269762,811
810,39.0,0.009280084,821
820,39.0,0.009290337,831
830,39.0,0.009305606,841
840,39.0,0.009319809,851
850,39.0,0.009330879,861
860,39.0,0.009344661,871
870,42.0,0.009356041,881
880,42.0,0.009366908,891
890,42.0,0.009377479,901
900,42.0,0.009388602,911
910,42.0,0.00939983,921
920,42.0,0.009410767,931
930,42.0,0.009421569,941
940,42.0,0.009433119,951
950,42.0,0.009449872,961
960,42.0,0.009463788,971
970,42.0,0.009486947,981
980,42.0,0.009498265,991
990,42.0,0.009512653,1001
1000,42.0,0.009523922,1011
1010,42.0,0.009540644,1021
1020,42.0,0.009568297,1031
1030,42.0,0.009580473,1041
1040,42.0,0.009597964,1051
1050,42.0,0.009610633,1061
1060,42.0,0.009627062,1071
1070,44.0,0.009638144,1081
1080,51.0,0.009648845,1091
1090,51.0,0.009659216,1101
1100,51.0,0.009672949,1111
1110,51.0,0.009683603,1121
1120,51.0,0.009694334,1131
1130,51.0,0.009704555,1141
1140,51.0,0.009715217,1151
1150,51.0,0.00972884,1161
1160,51.0,0.009739022,1171
1170,52.0,0.009749749,1181
1180,52.0,0.009768948,1191
1190,52.0,0.009812816,1201
1200,52.0,0.009834271,1211
1210,53.0,0.00985615,1221
1220,53.0,0.009878531,1231
1230,53.0,0.009898227,1241
1240,59.0,0.009919989,1251
1250,60.0,0.009942546,1261
1260,60.0,0.009963395,1271
1270,60.0,0.009982241,1281
1280,60.0,0.010002615,1291
1290,60.0,0.010023132,1301
1300,60.0,0.01004243,1311
1310,60.0,0.010056391,1321
1320,60.0,0.010089588,1331
1330,60.0,0.010103055,1341
1340,60.0,0.010114614,1351
1350,60.0,0.010125981,1361
1360,61.0,0.010137638,1371
1370,61.0,0.010149403,1381
1380,61.0,0.010163565,1391
1390,62.0,0.010174624,1401
1400,62.0,0.010186312,1411
1410,62.0,0.010197268,1421
1420,64.0,0.010209177,1431
1430,64.0,0.0102203,1441
1440,64.0,0.0102313,1451
1450,64.0,0.010243094,1461
1460,64.0,0.010254655,1471
1470,65.0,0.010265991,1481
1480,65.0,0.010277447,1491
1490,65.0,0.01028935,1501
1500,65.0,0.01030083,1511
1510,66.0,0.010312285,1521
1520,67.0,0.010323695,1531
