iterations,fitness,time,fevals
0,524.0,0.006889456,653
10,526.0,0.012754736,1205
20,518.0,0.0180123,1753
30,520.0,0.023750696,2299
40,515.0,0.028849108,2841
50,533.0,0.034183333,3394
60,533.0,0.03905871,3951
70,533.0,0.043651642,4498
80,539.0,0.048481161,5052
90,539.0,0.053136876,5599
100,535.0,0.057484552,6149
110,537.0,0.061982542,6694
120,539.0,0.066312357,7238
130,537.0,0.070628683,7787
140,541.0,0.074950766,8330
150,543.0,0.080481933,8874
160,541.0,0.084849283,9419
170,543.0,0.088890033,9971
180,545.0,0.09350464,10523
190,545.0,0.097898011,11067
200,547.0,0.102315636,11612
210,545.0,0.106423632,12160
220,543.0,0.110869055,12710
230,547.0,0.115126686,13254
240,545.0,0.148819243,13805
250,543.0,0.153777115,14345
260,543.0,0.158169608,14888
270,545.0,0.161345786,15437
280,547.0,0.165461342,15988
290,545.0,0.169530509,16540
300,545.0,0.174052688,17089
310,543.0,0.178062151,17643
320,545.0,0.181601269,18188
330,545.0,0.185558608,18737
340,547.0,0.189322729,19283
350,543.0,0.193204056,19830
360,547.0,0.197184095,20375
370,547.0,0.201608492,20929
380,547.0,0.205822759,21480
390,547.0,0.209829818,22036
400,545.0,0.214294082,22581
410,543.0,0.218964111,23120
420,545.0,0.223658163,23664
430,543.0,0.227719022,24216
440,543.0,0.231646574,24767
450,543.0,0.235506765,25317
460,543.0,0.239788405,25870
470,541.0,0.244061792,26414
480,545.0,0.248271139,26955
490,545.0,0.252687207,27495
500,547.0,0.256774515,28043
510,543.0,0.260892236,28584
520,541.0,0.265344279,29130
530,543.0,0.269662031,29682
540,541.0,0.273893867,30223
550,545.0,0.278196335,30775
560,543.0,0.282902534,31318
570,543.0,0.288267594,31871
580,543.0,0.293529084,32419
590,541.0,0.297802802,32974
600,543.0,0.301528684,33519
610,541.0,0.305664909,34067
620,541.0,0.309733281,34612
630,543.0,0.313917233,35162
640,543.0,0.317993774,35709
650,541.0,0.32241412,36254
660,549.0,0.326709269,36802
670,547.0,0.359582216,37346
680,549.0,0.364141684,37890
690,551.0,0.368506378,38435
700,555.0,0.372794895,38982
710,555.0,0.376902835,39529
720,555.0,0.380938987,40073
730,555.0,0.385303322,40622
740,559.0,0.390800356,41169
750,555.0,0.397042607,41721
760,555.0,0.403319275,42271
770,557.0,0.409656864,42813
780,557.0,0.415823922,43360
790,555.0,0.422311782,43917
800,555.0,0.428801545,44461
810,557.0,0.434909067,45007
820,555.0,0.441118104,45556
830,555.0,0.446530043,46105
840,555.0,0.45182258,46653
850,555.0,0.457764044,47199
860,553.0,0.463623786,47741
870,555.0,0.46879452,48287
880,555.0,0.473140395,48832
890,559.0,0.477122217,49385
900,553.0,0.481152023,49940
910,555.0,0.485065279,50489
920,559.0,0.489086963,51039
930,559.0,0.493121641,51576
940,561.0,0.497134011,52119
950,559.0,0.500750041,52664
960,557.0,0.504181834,53211
970,559.0,0.507971434,53771
980,559.0,0.512191923,54321
990,557.0,0.516199566,54869
1000,559.0,0.52049429,55420
1010,559.0,0.524689756,55969
1020,559.0,0.52870899,56519
1030,561.0,0.532653387,57068
1040,561.0,0.536688716,57616
1050,559.0,0.540938753,58164
1060,561.0,0.545067028,58703
