iterations,fitness,time,fevals
0,550.0,15.485645783,1000
10,607.0,30.470788653,2100
20,655.0,43.764837902,3200
30,693.0,55.907563644,4300
40,711.0,67.483170326,5400
50,727.0,78.343861726,6500
60,733.0,88.684601526,7600
70,741.0,98.807623902,8700
80,739.0,108.783965116,9800
90,739.0,118.65619598,10900
100,739.0,128.537684801,12000
110,741.0,138.542899217,13100
120,743.0,148.709057903,14200
130,741.0,158.711243339,15300
140,741.0,168.163702215,16400
150,741.0,177.41315684,17500
160,741.0,187.037482545,18600
170,741.0,196.409909529,19700
180,739.0,206.050006106,20800
190,741.0,215.828546613,21900
200,741.0,225.199437471,23000
210,743.0,235.693503443,24100
220,739.0,245.652766828,25200
230,741.0,256.082735583,26300
240,741.0,266.096957805,27400
250,741.0,276.114970921,28500
260,739.0,285.756656298,29600
270,741.0,295.333399149,30700
280,743.0,305.519627939,31800
290,741.0,315.298182826,32900
300,741.0,324.953978988,34000
310,741.0,334.76919328,35100
320,739.0,344.254490249,36200
330,741.0,354.10575377,37300
340,741.0,363.666630029,38400
350,741.0,373.036777298,39500
360,741.0,382.005868175,40600
370,741.0,391.392623182,41700
380,741.0,401.100124254,42800
390,741.0,410.692222575,43900
400,739.0,420.334302143,45000
410,741.0,431.020249564,46100
420,741.0,440.97481788,47200
430,741.0,451.173497293,48300
440,741.0,461.166692364,49400
450,743.0,470.956860117,50500
460,743.0,480.892301024,51600
470,741.0,491.022630163,52700
480,741.0,500.98443319,53800
490,741.0,510.650671404,54900
500,741.0,520.325806635,56000
510,743.0,529.832254889,57100
520,741.0,539.431704644,58200
530,743.0,549.852530852,59300
540,739.0,559.540344868,60400
550,741.0,569.544158062,61500
560,741.0,579.836945575,62600
570,743.0,589.758239585,63700
580,741.0,599.616573562,64800
590,741.0,609.482346272,65900
600,743.0,619.426253691,67000
610,741.0,629.750707999,68100
620,741.0,640.238674693,69200
630,741.0,649.813580879,70300
640,743.0,659.033255044,71400
650,743.0,669.216382823,72500
660,741.0,678.989366145,73600
670,743.0,688.920966029,74700
680,739.0,699.002750645,75800
690,741.0,708.905799541,76900
700,741.0,719.071794826,78000
710,743.0,729.122244001,79100
720,741.0,738.931902622,80200
730,743.0,748.793271104,81300
740,741.0,758.99992891,82400
750,741.0,769.195184568,83500
760,745.0,779.486860046,84600
770,743.0,789.765054406,85700
780,743.0,799.447598289,86800
790,741.0,810.271871277,87900
800,739.0,819.91373977,89000
810,741.0,829.341917808,90100
820,741.0,838.571297827,91200
830,741.0,848.337167713,92300
840,743.0,857.944759758,93400
850,743.0,867.129904657,94500
860,741.0,876.460433274,95600
870,741.0,886.236298462,96700
880,741.0,895.836415083,97800
890,741.0,905.478681141,98900
900,741.0,915.606355823,100000
910,741.0,925.612520914,101100
920,741.0,936.165776324,102200
930,741.0,945.952190045,103300
940,741.0,955.760947931,104400
950,741.0,965.840181116,105500
960,741.0,975.92699366,106600
970,739.0,985.876921371,107700
980,741.0,996.018665854,108800
990,741.0,1005.8803969,109900
1000,741.0,1015.77990172,111000
1010,747.0,1025.76024201,112100
1020,743.0,1035.42248625,113200
1030,741.0,1045.10980491,114300
1040,741.0,1054.49941742,115400
1050,742.0,1064.01175735,116500
1060,741.0,1073.59958649,117600
1070,741.0,1082.94786924,118700
1080,741.0,1092.26049096,119800
1090,741.0,1101.72840359,120900
1100,741.0,1111.1206415,122000
1110,741.0,1120.47522513,123100
1120,741.0,1129.64198233,124200
1130,741.0,1139.01918845,125300
1140,741.0,1149.06255206,126400
1150,741.0,1158.98362804,127500
1160,741.0,1168.68970519,128600
1170,741.0,1178.15258339,129700
1180,741.0,1188.06409813,130800
1190,741.0,1197.48538233,131900
1200,745.0,1207.02792294,133000
1210,743.0,1217.17534775,134100
1220,743.0,1227.0562854,135200
1230,745.0,1237.29709206,136300
1240,743.0,1248.35580943,137400
1250,743.0,1259.04098019,138500
1260,743.0,1268.58997606,139600
1270,743.0,1278.05868978,140700
1280,743.0,1287.60512193,141800
1290,743.0,1297.35719392,142900
1300,743.0,1306.84316815,144000
1310,743.0,1316.75954019,145100
1320,743.0,1326.30485366,146200
1330,743.0,1336.00214646,147300
1340,743.0,1345.52924432,148400
1350,745.0,1354.9063623,149500
1360,745.0,1364.86965917,150600
1370,743.0,1374.06251822,151700
1380,741.0,1383.39399475,152800
1390,743.0,1392.75380076,153900
1400,743.0,1402.85106843,155000
1410,745.0,1413.37944033,156100
1420,745.0,1423.16029891,157200
1430,743.0,1432.87276743,158300
1440,745.0,1442.9129318,159400
1450,745.0,1452.7539082,160500
1460,745.0,1462.52350297,161600
1470,745.0,1472.29865903,162700
1480,745.0,1481.88768378,163800
1490,745.0,1491.8732649,164900
1500,745.0,1501.43932042,166000
1510,747.0,1511.32604165,167100
1520,745.0,1521.68876152,168200
1530,747.0,1532.28885929,169300
1540,745.0,1542.0962053,170400
1550,747.0,1551.549194,171500
1560,745.0,1561.13687541,172600
1570,743.0,1570.43336741,173700
1580,747.0,1580.03520035,174800
1590,745.0,1589.90460382,175900
1600,749.0,1599.45930455,177000
1610,745.0,1609.27425031,178100
1620,747.0,1618.54166183,179200
1630,747.0,1628.38505753,180300
1640,745.0,1637.79490295,181400
1650,745.0,1647.78724039,182500
1660,747.0,1657.47742811,183600
1670,745.0,1666.95386086,184700
1680,745.0,1676.76033017,185800
1690,745.0,1686.4531866,186900
1700,745.0,1695.94779348,188000
1710,745.0,1705.77390225,189100
1720,745.0,1715.6670763,190200
1730,745.0,1725.68596997,191300
1740,745.0,1735.44166494,192400
1750,745.0,1745.74682563,193500
1760,745.0,1755.89955961,194600
1770,745.0,1766.23048144,195700
1780,745.0,1776.44493632,196800
1790,743.0,1786.41382623,197900
1800,744.0,1796.37312579,199000
1810,745.0,1806.24899596,200100
1820,747.0,1815.53795859,201200
1830,747.0,1825.50530202,202300
1840,747.0,1834.93350565,203400
1850,745.0,1845.26319568,204500
1860,745.0,1855.16532874,205600
