iterations,fitness,time,fevals
0,509.0,0.011355283,11
10,513.0,0.013024594,21
20,513.0,0.014743011,31
30,513.0,0.016406224,41
40,515.0,0.018080732,51
50,517.0,0.025454319,61
60,517.0,0.029168376,71
70,521.0,0.029550806,81
80,523.0,0.029957788,91
90,527.0,0.030406919,101
100,531.0,0.030787695,111
110,531.0,0.038364018,121
120,533.0,0.038942342,131
130,535.0,0.039318262,141
140,535.0,0.039803426,151
150,537.0,0.041002047,161
160,537.0,0.041457948,171
170,543.0,0.041854422,181
180,545.0,0.042278546,191
190,547.0,0.042714088,201
200,547.0,0.043272678,211
210,547.0,0.043692873,221
220,549.0,0.044081555,231
230,551.0,0.04446061,241
240,551.0,0.044867304,251
250,553.0,0.048725413,261
260,555.0,0.049138698,271
270,561.0,0.049504683,281
280,561.0,0.049907889,291
290,561.0,0.050345848,301
300,561.0,0.050707965,311
310,563.0,0.051071331,321
320,565.0,0.051972727,331
330,567.0,0.052395988,341
340,567.0,0.052757431,351
350,571.0,0.053141369,361
360,571.0,0.053534396,371
370,571.0,0.053908751,381
380,571.0,0.054686699,391
390,575.0,0.05504445,401
400,575.0,0.05541017,411
410,581.0,0.056142745,421
420,581.0,0.05681971,431
430,585.0,0.057203074,441
440,587.0,0.057566213,451
450,589.0,0.057962855,461
460,589.0,0.058333639,471
470,591.0,0.058727604,481
480,593.0,0.059082509,491
490,593.0,0.063532367,501
500,597.0,0.063941546,511
510,599.0,0.064307676,521
520,599.0,0.064693807,531
530,601.0,0.06634114,541
540,603.0,0.066773402,551
550,603.0,0.067160975,561
560,603.0,0.071236071,571
570,603.0,0.071739173,581
580,605.0,0.072253945,591
590,605.0,0.07265207,601
600,607.0,0.077158346,611
610,607.0,0.077548568,621
620,607.0,0.077997742,631
630,609.0,0.078480275,641
640,613.0,0.078904152,651
650,615.0,0.083546925,661
660,615.0,0.083960181,671
670,615.0,0.090017,681
680,617.0,0.090578121,691
690,619.0,0.094447965,701
700,621.0,0.095030182,711
710,621.0,0.099601044,721
720,621.0,0.104265791,731
730,621.0,0.104665591,741
740,621.0,0.105017415,751
750,621.0,0.105366438,761
760,623.0,0.113835312,771
770,625.0,0.114205653,781
780,627.0,0.114569267,791
790,629.0,0.114975061,801
800,629.0,0.115325703,811
810,629.0,0.115670642,821
820,633.0,0.120118287,831
830,635.0,0.120471793,841
840,637.0,0.12085199,851
850,643.0,0.121218279,861
860,645.0,0.121563138,871
870,645.0,0.121908311,881
880,647.0,0.130374032,891
890,649.0,0.130748601,901
900,653.0,0.131097165,911
910,653.0,0.131441639,921
920,655.0,0.131807366,931
930,655.0,0.132249575,941
940,655.0,0.132593356,951
950,659.0,0.132965165,961
960,659.0,0.133332151,971
970,659.0,0.133759635,981
980,659.0,0.134104214,991
990,661.0,0.134505738,1001
1000,661.0,0.1348498,1011
1010,661.0,0.137823807,1021
1020,661.0,0.138175511,1031
1030,661.0,0.138560237,1041
1040,661.0,0.138901177,1051
1050,663.0,0.139242923,1061
1060,663.0,0.139605664,1071
1070,665.0,0.139946943,1081
1080,665.0,0.144391111,1091
1090,665.0,0.144740254,1101
1100,665.0,0.145086995,1111
1110,667.0,0.145433574,1121
1120,667.0,0.145773512,1131
1130,667.0,0.15020595,1141
1140,667.0,0.150557605,1151
1150,667.0,0.150901569,1161
1160,667.0,0.151254862,1171
1170,667.0,0.151617297,1181
1180,667.0,0.151969547,1191
1190,667.0,0.152325963,1201
1200,667.0,0.152753057,1211
1210,669.0,0.153116972,1221
1220,669.0,0.153495913,1231
1230,669.0,0.153882831,1241
1240,669.0,0.154495703,1251
1250,669.0,0.154875588,1261
1260,669.0,0.155514074,1271
1270,669.0,0.156091042,1281
1280,673.0,0.156673143,1291
1290,673.0,0.157055889,1301
1300,673.0,0.157397379,1311
1310,675.0,0.157739724,1321
1320,677.0,0.158076813,1331
1330,681.0,0.158413777,1341
1340,681.0,0.162861615,1351
1350,685.0,0.163203362,1361
1360,685.0,0.163557668,1371
1370,687.0,0.163913616,1381
1380,689.0,0.164287942,1391
1390,689.0,0.164664301,1401
1400,689.0,0.165009371,1411
1410,689.0,0.165444986,1421
1420,689.0,0.16601246,1431
1430,689.0,0.166370467,1441
1440,689.0,0.166712043,1451
1450,689.0,0.167047021,1461
1460,691.0,0.167382793,1471
1470,691.0,0.16978481,1481
1480,691.0,0.17013737,1491
1490,691.0,0.170475616,1501
1500,691.0,0.170829283,1511
1510,691.0,0.171270168,1521
1520,693.0,0.171611453,1531
1530,695.0,0.171977812,1541
1540,695.0,0.172314753,1551
1550,695.0,0.173218927,1561
1560,697.0,0.173811894,1571
1570,697.0,0.174425205,1581
1580,697.0,0.175036515,1591
1590,699.0,0.175641424,1601
1600,699.0,0.176273296,1611
1610,699.0,0.176881863,1621
1620,701.0,0.177490965,1631
1630,701.0,0.18218768,1641
1640,701.0,0.182802176,1651
1650,701.0,0.183386951,1661
1660,701.0,0.188080902,1671
1670,701.0,0.188687751,1681
1680,701.0,0.18929766,1691
1690,701.0,0.189902548,1701
1700,707.0,0.19460196,1711
1710,709.0,0.195099719,1721
1720,713.0,0.195563368,1731
1730,715.0,0.196031843,1741
1740,715.0,0.196471325,1751
1750,717.0,0.201051114,1761
1760,717.0,0.201510991,1771
1770,717.0,0.202059645,1781
1780,717.0,0.202736682,1791
1790,717.0,0.203241606,1801
1800,717.0,0.203698486,1811
1810,717.0,0.204146962,1821
1820,717.0,0.204633299,1831
1830,717.0,0.209197809,1841
1840,717.0,0.209666091,1851
1850,719.0,0.210155548,1861
1860,719.0,0.210651583,1871
1870,721.0,0.215116376,1881
1880,721.0,0.215459995,1891
1890,721.0,0.215799403,1901
1900,721.0,0.216218472,1911
1910,725.0,0.217260863,1921
1920,727.0,0.217669412,1931
1930,729.0,0.22199421,1941
1940,729.0,0.222481462,1951
1950,731.0,0.226988387,1961
1960,731.0,0.227367819,1971
1970,731.0,0.227715795,1981
1980,731.0,0.228050207,1991
1990,731.0,0.228387967,2001
2000,731.0,0.228722376,2011
2010,731.0,0.229052739,2021
2020,731.0,0.229387944,2031
2030,731.0,0.229767174,2041
2040,731.0,0.234538621,2051
2050,731.0,0.234895587,2061
2060,731.0,0.235281354,2071
2070,731.0,0.235658806,2081
2080,733.0,0.23599685,2091
2090,733.0,0.240424495,2101
2100,735.0,0.240863891,2111
2110,735.0,0.241196952,2121
2120,735.0,0.241683711,2131
2130,737.0,0.242224003,2141
2140,737.0,0.24256013,2151
2150,741.0,0.242904274,2161
2160,741.0,0.24326665,2171
2170,741.0,0.243606943,2181
2180,741.0,0.243939959,2191
2190,741.0,0.244318969,2201
2200,743.0,0.244656582,2211
2210,743.0,0.245071877,2221
2220,743.0,0.24542261,2231
2230,743.0,0.245752141,2241
2240,743.0,0.246348892,2251
2250,743.0,0.246938193,2261
2260,743.0,0.24752848,2271
2270,743.0,0.248138868,2281
2280,743.0,0.248739241,2291
2290,743.0,0.249331449,2301
2300,743.0,0.249943895,2311
2310,745.0,0.250532174,2321
2320,747.0,0.251128374,2331
2330,747.0,0.25171196,2341
2340,749.0,0.252142452,2351
2350,749.0,0.252472442,2361
2360,749.0,0.252830027,2371
2370,749.0,0.253165963,2381
2380,749.0,0.253493752,2391
2390,749.0,0.25786204,2401
2400,749.0,0.258290223,2411
2410,749.0,0.258621224,2421
2420,749.0,0.258984094,2431
2430,749.0,0.259379598,2441
2440,749.0,0.259710969,2451
2450,749.0,0.260040594,2461
2460,749.0,0.260478476,2471
2470,749.0,0.26080968,2481
2480,749.0,0.261209458,2491
2490,749.0,0.261686573,2501
2500,749.0,0.262027419,2511
2510,749.0,0.262431617,2521
2520,749.0,0.262780727,2531
2530,749.0,0.263135172,2541
2540,749.0,0.263532479,2551
2550,749.0,0.263992449,2561
2560,749.0,0.264321277,2571
2570,749.0,0.264660262,2581
2580,749.0,0.264999554,2591
2590,749.0,0.265327978,2601
2600,749.0,0.27375285,2611
2610,751.0,0.274085994,2621
2620,751.0,0.274413577,2631
2630,751.0,0.274741108,2641
2640,753.0,0.275073316,2651
2650,753.0,0.27539815,2661
2660,753.0,0.276113016,2671
2670,753.0,0.276440475,2681
2680,753.0,0.276766768,2691
2690,753.0,0.277094956,2701
2700,753.0,0.277426732,2711
2710,753.0,0.278412827,2721
2720,753.0,0.278829253,2731
2730,755.0,0.279156991,2741
2740,755.0,0.283556365,2751
2750,755.0,0.283883493,2761
2760,755.0,0.284300718,2771
2770,755.0,0.284628032,2781
2780,755.0,0.284952725,2791
2790,755.0,0.285322455,2801
2800,755.0,0.285715183,2811
2810,755.0,0.286044793,2821
2820,755.0,0.286378411,2831
2830,755.0,0.286903923,2841
2840,755.0,0.287439521,2851
2850,755.0,0.293712844,2861
2860,757.0,0.294091432,2871
2870,757.0,0.2944988,2881
2880,757.0,0.294825641,2891
2890,757.0,0.295152313,2901
2900,757.0,0.295479328,2911
2910,757.0,0.295827013,2921
2920,757.0,0.296196724,2931
2930,757.0,0.296540607,2941
2940,757.0,0.300959094,2951
2950,757.0,0.301289593,2961
2960,757.0,0.301617385,2971
2970,757.0,0.301963853,2981
2980,757.0,0.302330952,2991
2990,757.0,0.302659838,3001
3000,757.0,0.303047145,3011
